,alpha,beta,accuracy
0,0.0,0.0,0.5609788298606873
1,0.0,1.0,0.25
2,0.0,0.1,0.25
3,0.0,0.01,0.25
4,0.0,0.001,0.46970900893211365
5,0.0,0.0001,0.5943121910095215
6,1.0,0.0,0.25
7,1.0,1.0,0.27738094329833984
8,1.0,0.1,0.25
9,1.0,0.01,0.25
10,1.0,0.001,0.25
11,1.0,0.0001,0.25
