,alpha,beta,accuracy
0,0.0,0.0,0.9527323842048645
1,0.0,10.0,0.9450008869171143
2,0.0,1.0,0.9355121850967407
3,0.0,0.1,0.9592338800430298
4,0.0,0.01,0.9455280303955078
5,0.0,0.001,0.9710068702697754
6,10.0,0.0,0.9773326516151428
7,10.0,10.0,0.9513266682624817
8,10.0,1.0,0.8910560607910156
9,10.0,0.1,0.9741697311401367
10,10.0,0.01,0.9734668731689453
11 0,1.0,0.0,0.980671226978302
12 1,1.0,10.0,0.9543138146400452
